Sexe;LS;L1-2;L1-3;L1-4;L1-5;L1-6;L1-7;L1-8;L1-9;L1-10;L2-3;L2-4;L2-5;L2-6;L2-7;L2-8;L2-9;L2-10;L3-4;L3-5;L3-6;L3-7;L3-8;L3-9;L3-10;L4-5;L4-6;L4-7;L4-8;L4-9;L4-10;L5-6;L5-7;L5-8;L5-9;L5-10;L6-7;L6-8;L6-9;L6-10;L7-8;L7-9;L7-10;L8-9;L8-10;L9-10
0;54.3832;4.0583;8.7744;11.7331;11.24;13.2394;10.7071;4.9147;5.206;15.5524;4.7642;7.8683;7.2121;9.9643;7.8015;4.4666;5.2968;11.658;4.7261;2.4702;6.345;5.3124;6.9567;7.8203;6.9524;4.0297;9.6711;9.6182;11.3371;12.2335;7.6732;5.6491;5.7863;9.1792;10.0008;4.7336;2.7727;9.2031;9.6696;4.7336;6.4588;6.8997;6.9061;0.9013;12.5449;13.2158
1;48.0864;4.1613;8.3572;11.7497;10.818;11.9117;9.9598;4.6825;4.6948;14.8358;4.2921;7.695;6.7013;8.7057;6.9407;3.9933;4.5839;10.929;4.7442;2.4875;5.4527;4.3594;5.9951;6.6994;6.6794;3.4744;8.7085;8.4606;10.5515;11.2635;7.0212;5.2437;5.072;8.3342;9.0214;4.6456;1.9803;7.7058;8.1473;4.6351;5.7304;6.1895;6.0952;0.7121;11.3931;11.9732
0;48.1302;3.6501;8.1436;11.2011;10.4509;11.367;9.5793;4.2583;4.2755;14.4247;4.5471;7.6889;6.8232;8.4236;6.7093;3.6241;4.1994;10.9465;4.5527;2.3343;5.0196;3.8686;6.0631;6.7636;6.4595;3.4938;8.3481;7.8972;10.3041;11.0124;7.0047;4.8548;4.529;8.287;8.9734;4.5312;1.7892;7.6522;8.1234;4.5454;5.9034;6.4072;5.7893;0.7091;11.4093;11.9998
1;48.1777;4.7873;9.461;12.9625;11.9255;12.8214;11.0531;4.8004;4.8388;16.4871;4.7651;8.2641;7.1855;9.0911;7.4788;4.1678;5.0436;11.9826;4.7558;2.4837;5.6199;4.6532;6.8411;7.7961;7.2849;3.4160000000000004;8.8852;8.6745;11.3786;12.3555;7.3633;5.4829;5.3071;9.204;10.1336;5.2347;1.7827;8.4721;9.0671;5.2337;6.6961;7.3148;6.5867;0.9798;12.8399;13.6122
0;51.332;4.0366;8.2863;11.8273;11.0258;11.9525;9.7545;4.5983;4.6714;15.4115;4.3687;7.8564;7.0478;9.005;6.9697;4.2732;5.0201;11.6945;4.7572;2.7652;5.7807;4.4445;6.2975;7.1896;7.3809;3.3189;8.9893;8.5535;10.9123;11.81;7.4996;5.6705;5.3867;8.8903;9.7629;5.1668;2.2066;7.9211;8.4899;5.1528;5.7479;6.3633;6.7424;0.8978;12.1911;12.9258
0;47.6211;3.3797;7.7551;10.9096;9.933;11.3287;9.2463;4.4738;4.7214;14.2224;4.4444;7.6007;6.5962;8.7979;6.7827;4.0577;4.6896;11.0614;4.3254;2.187;5.6174;4.1868;6.086;6.7453;6.6934;3.265;8.5637;7.9008;10.2862;10.9677;6.8657;5.3255;4.6899;8.0654;8.6892;4.8306;2.0824;7.5083;7.8032;4.793;5.5181;5.8787;6.0536;0.6969;11.312;11.7797
1;49.6003;4.1397;8.4735;11.677;10.8958;11.316;9.6847;4.6745;4.9561;14.5882;4.4289999999999985;7.5809;6.8462;8.4568;6.8439999999999985;4.331;5.1849;10.898;4.1829;2.4245;5.7122;4.5607;6.5076;7.3723;6.6998;3.2634;8.7776;8.1509;10.6008;11.4886;7.2934;5.5205;5.0281;8.5897;9.3952;4.74;1.6464;7.1204;7.4929999999999986;4.7118;5.6064;6.0709;5.6894;0.9126;11.1186;11.6893
0;53.223;3.6841;8.5259;12.1026;11.0711;12.3736;10.2843;4.7261;5.0828;15.8176;4.9081;8.5716;7.4181;9.4951;7.5984;4.5666;5.3088;12.3298;5.287000000000001;2.5709;5.8411;4.7693;7.0816;7.8095;7.4818;4.1424;9.7247;9.5142;12.0635;12.8317;8.1457;5.5878;5.4946;9.4823;10.1725;5.3197;2.1549;8.6989;9.0588;5.277;6.5496;6.9319;6.9676;0.7845;13.125;13.6475
0;53.4737;4.05;8.8763;11.9759;11.3414;12.9769;10.7545;4.848;5.0678;15.9025;4.8497;8.1686;7.2982;9.5319;7.5;4.1097;4.7853;11.9464;4.8525;2.4868;5.8088;4.6213;6.8174;7.4997;7.1404;3.8971;9.1854;8.9201;11.3153;12.0332;7.5459;5.297999999999999;5.1582;9.1426;9.7926;4.932;2.2992;8.959;9.3265;4.9469;6.6603;7.0384;6.6923;0.7269;12.8225;13.345999999999998
1;47.1289;3.8055;7.9004;10.9174;10.3134;11.368;9.6827;4.7376;4.9285;14.2809;4.1932;7.2032;6.5858;8.4129;6.8662;3.9555;4.5796;10.7188;4.3715;2.4132;5.1413;4.1264;5.6008;6.2462;6.5624;3.6301;8.1274;7.831;9.8129;10.4859;6.8954;4.4979;4.331;7.6948;8.2866;4.354;1.7065;7.1631;7.4592;4.3919;5.4672;5.7892;5.6779;0.688;10.8197;11.2646
