ID;Nom;LS;Sexe
65;P6210245.JPG;33.76107; Undetermined
66;P6210248.JPG;32.56095; F
67;P6210252.JPG;35.78979; M
68;P6210257.JPG;40.06786; M
69;P6210261.JPG;34.72519; F
70;P6210264.JPG;37.10796; M
71;P6210272.JPG;36.40153; M
72;P6210275.JPG;35.07127; F
73;P6210277.JPG;35.62451; F
74;P6210283.JPG;30.60786; F
75;P6210293.JPG;36.85548; F
76;P6210295.JPG;36.32544; M
77;P6210298.JPG;38.75455; F
78;P6210302.JPG;37.17149; M
79;P6210305.JPG;31.6906; F
80;P6210308.JPG;36.7652; F
81;P6210313.JPG;31.49427; F
82;P6210316.JPG;33.32193; F
83;P6210320.JPG;30.49132; F
84;P6210322.JPG;34.05959; F
85;P6210324.JPG;38.02924; M
86;P6210326.JPG;31.40898; F
87;P6210333.JPG;29.47467; F
88;P6210335.JPG;35.6908; M
89;P6210351.JPG;36.94101; Undetermined
90;P6210358.JPG;44.19212; F
91;P6210360.JPG;38.79439; M
92;P6210363.JPG;39.38803; M
93;P6210370.JPG;35.30395; F
94;P6210372.JPG;38.51558; M
95;P6210376.JPG;34.20353; F
96;P6210385.JPG;30.67093; F
97;P6210388.JPG;34.27189; F
98;P6210391.JPG;29.52972; F
99;P6210394.JPG;41.17891; M
100;P6210397.JPG;38.60599; M
101;P6210400.JPG;43.24765; M
102;P6210403.JPG;40.50434; M
103;P6210406.JPG;30.89573; F
104;P6210409.JPG;36.55946; F
105;P6210411.JPG;36.13555; M
106;P6210415.JPG;34.76188; Undetermined
107;P6210424.JPG;36.56924; Undetermined
108;P6210427.JPG;35.30176; M
109;P6210429.JPG;41.88246; Undetermined
110;P6210435.JPG;36.65362; M
111;P6210439.JPG;38.67678; M
112;P6210441.JPG;33.15934; F
113;P6210444.JPG;33.89026; F
114;P6210447.JPG;36.58907; F
115;P6210450.JPG;39.93822; F
116;P6210456.JPG;40.00658; M
117;P6210460.JPG;27.06462; F
118;P6210463.JPG;35.68684; M
119;P6210470.JPG;40.22314; M
120;P6210476.JPG;39.40492; F
121;P6210487.JPG;39.5006; M
122;P6210490.JPG;44.86719; F
123;P6210493.JPG;43.37186; F
124;P6210496.JPG;41.09425; F
125;P6210504.JPG;42.40198; Undetermined
126;P6210508.JPG;38.76177; Undetermined (possibly M )
